500 124750
0 365 46
0 366 49
0 367 27
0 368 49
0 369 12
0 370 39
0 371 7
0 372 16
0 373 31
0 374 36
0 375 30
0 376 7
0 377 42
0 378 29
0 379 44
0 380 16
0 381 11
0 382 2
0 383 2
0 384 40
0 385 2
0 386 18
0 387 1
0 388 18
0 389 34
0 390 49
0 391 50
0 392 34
0 393 41
0 394 41
0 395 43
0 396 36
0 397 39
0 398 21
0 399 36
0 400 2
0 401 10
0 402 43
0 403 18
0 404 40
0 405 28
0 406 47
0 407 48
0 408 22
0 409 25
0 410 42
0 411 37
0 412 38
0 413 43
0 414 38
0 415 27
0 416 46
0 417 7
0 418 29
0 419 16
0 420 41
0 421 27
0 422 15
0 423 24
0 424 17
0 425 5
0 426 18
0 427 2
0 428 46
0 429 39
0 430 38
0 431 47
0 432 48
0 433 32
0 434 14
0 435 39
0 436 11
0 437 13
0 438 38
0 439 32
0 440 39
0 441 29
0 442 19
0 443 26
0 444 24
0 445 8
0 446 4
0 447 21
0 448 15
0 449 32
0 450 36
0 451 7
0 452 11
0 453 1
0 454 30
0 455 27
0 456 7
0 457 49
0 458 31
0 459 4
0 460 37
0 461 20
0 462 1
0 463 36
0 464 1
0 465 16
0 466 26
0 467 13
0 468 30
0 469 14
0 470 45
0 471 19
0 472 44
0 473 15
0 474 46
0 475 19
0 476 22
0 477 50
0 478 40
0 479 38
0 480 33
0 481 25
0 482 44
0 483 43
0 484 27
0 485 25
0 486 20
0 487 36
0 488 24
0 489 2
0 490 41
0 491 12
0 492 21
0 493 41
0 494 50
0 495 23
0 496 9
0 497 27
0 498 35
0 499 38
1 2 42
1 3 31
1 4 6
1 5 36
1 6 47
1 7 4
1 8 6
1 9 21
1 10 3
1 11 47
1 12 8
1 13 37
1 14 24
1 15 4
1 16 30
1 17 2
1 18 28
1 19 1
1 20 39
1 21 3
1 22 2
1 23 30
1 24 17
1 25 22
1 26 20
1 27 18
1 28 44
1 29 30
1 30 44
1 31 30
1 32 18
1 33 36
1 34 11
1 35 25
1 36 23
1 37 7
1 38 28
1 39 28
1 40 27
1 41 32
1 42 27
1 43 37
1 44 19
1 45 50
1 46 40
1 47 50
1 48 1
1 49 19
1 50 50
1 51 40
1 52 22
1 53 3
1 54 21
1 55 40
1 56 24
1 57 42
1 58 7
1 59 19
1 60 22
1 61 50
1 62 48
1 63 39
1 64 35
1 65 10
1 66 15
1 67 7
1 68 19
1 69 45
1 70 37
1 71 45
1 72 26
1 73 13
1 74 33
1 75 46
1 76 14
1 77 22
1 78 45
1 79 16
1 80 41
1 81 46
1 82 7
1 83 14
1 84 48
1 85 27
1 86 3
1 87 23
1 88 19
1 89 11
1 90 43
1 91 40
1 92 10
1 93 41
1 94 30
1 95 47
1 96 2
1 97 44
1 98 5
1 99 20
1 100 40
1 101 41
1 102 17
1 103 16
1 104 5
1 105 49
1 106 13
1 107 18
1 108 23
1 109 10
1 110 36
1 111 15
1 112 7
1 113 42
1 114 28
1 115 5
1 116 19
1 117 32
1 118 29
1 119 39
1 120 42
1 121 22
1 122 30
1 123 3
1 124 14
1 125 9
1 126 49
1 127 15
1 128 4
1 129 4
1 130 37
1 131 44
1 132 46
1 133 3
1 134 11
1 135 3
1 136 3
1 137 25
1 138 22
1 139 25
1 140 34
1 141 7
1 142 39
1 143 41
1 144 49
1 145 18
1 146 47
1 147 19
1 148 1
1 149 27
1 150 9
1 151 42
1 152 48
1 153 38
1 154 47
1 155 13
1 156 46
1 157 45
1 158 28
1 159 1
1 160 50
1 161 16
1 162 46
1 163 46
1 164 18
1 165 6
1 166 50
1 167 20
1 168 33
1 169 21
1 170 47
1 171 16
1 172 28
1 173 37
1 174 8
1 175 28
1 176 5
1 177 6
1 178 48
1 179 5
1 180 33
1 181 6
1 182 49
1 183 32
1 184 43
1 185 45
1 186 45
1 187 40
1 188 41
1 189 24
1 190 40
1 191 41
1 192 39
1 193 36
1 194 38
1 195 8
1 196 43
1 197 39
1 198 29
1 199 25
1 200 9
1 201 25
1 202 43
1 203 36
1 204 12
1 205 50
1 206 13
1 207 18
1 208 8
1 209 10
1 210 24
1 211 42
1 212 17
1 213 24
1 214 23
1 215 9
1 216 18
1 217 19
1 218 48
1 219 11
1 220 44
1 221 38
1 222 3
1 223 34
1 224 25
1 225 42
1 226 41
1 227 17
1 228 30
1 229 20
1 230 44
1 231 38
1 232 46
1 233 36
1 234 26
1 235 9
1 236 37
1 237 40
1 238 28
1 239 44
1 240 2
1 241 2
1 242 35
1 243 18
1 244 27
1 245 10
1 246 27
1 247 47
1 248 28
1 249 24
1 250 7
1 251 22
1 252 13
1 253 9
1 254 5
1 255 37
1 256 2
1 257 48
1 258 6
1 259 31
1 260 19
1 261 49
1 262 18
1 263 16
1 264 34
1 265 43
1 266 25
1 267 22
1 268 33
1 269 4
1 270 16
1 271 36
1 272 7
1 273 2
1 274 3
1 275 34
1 276 11
1 277 29
1 278 30
1 279 41
1 280 5
1 281 36
1 282 14
1 283 17
1 284 46
1 285 18
1 286 6
1 287 47
1 288 17
1 289 11
1 290 29
1 291 35
1 292 11
1 293 46
1 294 1
1 295 46
1 296 41
1 297 27
1 298 17
1 299 25
1 300 32
1 301 34
1 302 10
1 303 39
1 304 36
1 305 12
1 306 22
1 307 48
1 308 43
1 309 3
1 310 38
1 311 47
1 312 38
1 313 3
1 314 15
1 315 35
1 316 23
1 317 20
1 318 33
1 319 39
1 320 32
1 321 11
1 322 26
1 323 42
1 324 8
1 325 26
1 326 39
1 327 48
1 328 4
1 329 6
1 330 24
1 331 35
1 332 39
1 333 35
1 334 23
1 335 26
1 336 47
1 337 46
1 338 26
1 339 41
1 340 48
1 341 13
1 342 39
1 343 37
1 344 18
1 345 3
1 346 23
1 347 40
1 348 25
1 349 5
1 350 28
1 351 6
1 352 15
1 353 3
1 354 50
1 355 23
1 356 30
1 357 38
1 358 22
1 359 35
1 360 43
1 361 48
1 362 20
1 363 34
1 364 32
1 365 44
1 366 11
1 367 30
1 368 42
1 369 36
1 370 20
1 371 39
1 372 1
1 373 8
1 374 28
1 375 18
1 376 13
1 377 50
1 378 7
1 379 37
1 380 5
1 381 36
1 382 42
1 383 21
1 384 39
1 385 43
1 386 45
1 387 20
1 388 31
1 389 19
1 390 5
1 391 25
1 392 16
1 393 26
1 394 10
1 395 47
1 396 21
1 397 21
1 398 27
1 399 12
1 400 6
1 401 48
1 402 3
1 403 6
1 404 8
1 405 32
1 406 23
1 407 20
1 408 31
1 409 31
1 410 6
1 411 37
1 412 17
1 413 49
1 414 10
1 415 7
1 416 42
1 417 4
1 418 26
1 419 24
1 420 22
1 421 32
1 422 48
1 423 39
1 424 7
1 425 10
1 426 36
1 427 30
1 428 30
1 429 14
1 430 41
1 431 37
1 432 13
1 433 45
1 434 43
1 435 20
1 436 26
1 437 17
1 438 39
1 439 7
1 440 48
1 441 46
1 442 45
1 443 16
1 444 45
1 445 4
1 446 22
1 447 36
1 448 10
1 449 49
1 450 9
1 451 31
1 452 31
1 453 8
1 454 20
1 455 39
1 456 17
1 457 7
1 458 18
1 459 48
1 460 22
1 461 11
1 462 35
1 463 34
1 464 5
1 465 29
1 466 6
1 467 33
1 468 47
1 469 46
1 470 41
1 471 44
1 472 42
1 473 35
1 474 11
1 475 36
1 476 41
1 477 32
1 478 23
1 479 50
1 480 31
1 481 31
1 482 30
1 483 13
1 484 40
1 485 1
1 486 3
1 487 9
1 488 9
1 489 23
1 490 8
1 491 32
1 492 33
1 493 44
1 494 18
1 495 39
1 496 22
1 497 23
1 498 21
1 499 21
2 3 18
2 4 11
2 5 16
2 6 9
2 7 48
2 8 27
2 9 46
2 10 38
2 11 8
2 12 18
2 13 37
2 14 40
2 15 50
2 16 18
2 17 4
2 18 42
2 19 21
2 20 7
2 21 50
2 22 31
2 23 29
2 24 7
2 25 13
2 26 13
2 27 3
2 28 30
2 29 3
2 30 26
2 31 4
2 32 24
2 33 46
2 34 21
2 35 36
2 36 12
2 37 32
2 38 35
2 39 38
2 40 27
2 41 22
2 42 47
2 43 47
2 44 10
2 45 37
2 46 46
2 47 28
2 48 40
2 49 39
2 50 50
2 51 48
2 52 38
2 53 30
2 54 28
2 55 47
2 56 44
2 57 40
2 58 49
2 59 23
2 60 43
2 61 24
2 62 28
2 63 18
2 64 20
2 65 49
2 66 5
2 67 33
2 68 32
2 69 42
2 70 20
2 71 10
2 72 13
2 73 16
2 74 6
2 75 25
2 76 4
2 77 4
2 78 4
2 79 44
2 80 42
2 81 3
2 82 43
2 83 32
2 84 34
2 85 21
2 86 30
2 87 28
2 88 12
2 89 28
2 90 2
2 91 6
2 92 3
2 93 30
2 94 23
2 95 24
2 96 30
2 97 30
2 98 6
2 99 11
2 100 21
2 101 27
2 102 22
2 103 35
2 104 43
2 105 28
2 106 9
2 107 46
2 108 33
2 109 12
2 110 41
2 111 26
2 112 16
2 113 36
2 114 7
2 115 2
2 116 6
2 117 36
2 118 31
2 119 19
2 120 15
2 121 32
2 122 25
2 123 20
2 124 13
2 125 49
2 126 45
2 127 44
2 128 30
2 129 3
2 130 6
2 131 50
2 132 29
2 133 28
2 134 37
2 135 23
2 136 5
2 137 45
2 138 19
2 139 39
2 140 9
2 141 11
2 142 14
2 143 26
2 144 46
2 145 23
2 146 27
2 147 3
2 148 8
2 149 7
2 150 24
2 151 25
2 152 41
2 153 48
2 154 46
2 155 5
2 156 48
2 157 40
2 158 49
2 159 28
2 160 42
2 161 4
2 162 29
2 163 23
2 164 31
2 165 15
2 166 45
2 167 37
2 168 12
2 169 15
2 170 27
2 171 22
2 172 26
2 173 41
2 174 47
2 175 23
2 176 13
2 177 26
2 178 28
2 179 22
2 180 34
2 181 1
2 182 48
2 183 24
2 184 50
2 185 43
2 186 29
2 187 47
2 188 35
2 189 29
2 190 24
2 191 26
2 192 32
2 193 5
2 194 48
2 195 15
2 196 19
2 197 45
2 198 3
2 199 32
2 200 9
2 201 30
2 202 3
2 203 34
2 204 22
2 205 2
2 206 9
2 207 34
2 208 29
2 209 36
2 210 7
2 211 12
2 212 38
2 213 7
2 214 38
2 215 37
2 216 49
2 217 16
2 218 33
2 219 35
2 220 46
2 221 9
2 222 11
2 223 29
2 224 15
2 225 10
2 226 43
2 227 35
2 228 4
2 229 48
2 230 17
2 231 13
2 232 27
2 233 21
2 234 48
2 235 48
2 236 24
2 237 8
2 238 33
2 239 2
2 240 43
2 241 39
2 242 14
2 243 32
2 244 47
2 245 1
2 246 18
2 247 48
2 248 18
2 249 3
2 250 32
2 251 13
2 252 13
2 253 42
2 254 41
2 255 27
2 256 4
2 257 36
2 258 11
2 259 9
2 260 33
2 261 29
2 262 23
2 263 11
2 264 50
2 265 23
2 266 8
2 267 23
2 268 30
2 269 40
2 270 27
2 271 25
2 272 30
2 273 42
2 274 6
2 275 27
2 276 44
2 277 24
2 278 26
2 279 13
2 280 28
2 281 7
2 282 27
2 283 42
2 284 1
2 285 19
2 286 18
2 287 4
2 288 4
2 289 30
2 290 14
2 291 38
2 292 9
2 293 37
2 294 48
2 295 10
2 296 9
2 297 7
2 298 34
2 299 38
2 300 46
2 301 12
2 302 12
2 303 28
2 304 3
2 305 20
2 306 6
2 307 46
2 308 45
2 309 31
2 310 10
2 311 22
2 312 37
2 313 36
2 314 13
2 315 37
2 316 5
2 317 32
2 318 42
2 319 10
2 320 13
2 321 6
2 322 48
2 323 23
2 324 44
2 325 47
2 326 32
2 327 2
2 328 4
2 329 18
2 330 41
2 331 1
2 332 29
2 333 5
2 334 28
2 335 32
2 336 24
2 337 35
2 338 29
2 339 18
2 340 15
2 341 39
2 342 41
2 343 4
2 344 24
2 345 5
2 346 42
2 347 30
2 348 36
2 349 34
2 350 40
2 351 48
2 352 41
2 353 39
2 354 23
2 355 36
2 356 35
2 357 4
2 358 39
2 359 38
2 360 23
2 361 29
2 362 41
2 363 2
2 364 35
2 365 20
2 366 35
2 367 8
2 368 5
2 369 13
2 370 27
2 371 21
2 372 3
2 373 17
2 374 24
2 375 29
2 376 21
2 377 16
2 378 8
2 379 8
2 380 1
2 381 47
2 382 8
2 383 43
2 384 35
2 385 30
2 386 28
2 387 22
2 388 35
2 389 16
2 390 11
2 391 8
2 392 46
2 393 1
2 394 9
2 395 31
2 396 21
2 397 45
2 398 40
2 399 27
2 400 9
2 401 17
2 402 47
2 403 12
2 404 35
2 405 21
2 406 40
2 407 8
2 408 38
2 409 47
2 410 15
2 411 40
2 412 46
2 413 24
2 414 34
2 415 30
2 416 5
2 417 11
2 418 3
2 419 40
2 420 28
2 421 14
2 422 49
2 423 25
2 424 14
2 425 9
2 426 5
2 427 36
2 428 3
2 429 45
2 430 12
2 431 11
2 432 13
2 433 9
2 434 22
2 435 47
2 436 31
2 437 13
2 438 4
2 439 20
2 440 10
2 441 21
2 442 11
2 443 7
2 444 44
2 445 44
2 446 38
2 447 49
2 448 6
2 449 41
2 450 40
2 451 35
2 452 4
2 453 38
2 454 9
2 455 19
2 456 46
2 457 16
2 458 5
2 459 48
2 460 10
2 461 18
2 462 8
2 463 22
2 464 28
2 465 32
2 466 20
2 467 10
2 468 44
2 469 24
2 470 29
2 471 5
2 472 44
2 473 41
2 474 11
2 475 39
2 476 34
2 477 49
2 478 39
2 479 41
2 480 41
2 481 30
2 482 25
2 483 44
2 484 17
2 485 34
2 486 14
2 487 14
2 488 49
2 489 18
2 490 11
2 491 10
2 492 38
2 493 21
2 494 33
2 495 15
2 496 4
2 497 2
2 498 25
2 499 49
3 4 27
3 5 5
3 6 4
3 7 22
3 8 46
3 9 16
3 10 11
3 11 31
3 12 16
3 13 1
3 14 22
3 15 6
3 16 31
3 17 46
3 18 1
3 19 49
3 20 31
3 21 15
3 22 13
3 23 31
3 24 34
3 25 25
3 26 42
3 27 21
3 28 47
3 29 24
3 30 38
3 31 2
3 32 28
3 33 14
3 34 1
3 35 4
3 36 18
3 37 6
3 38 26
3 39 15
3 40 23
3 41 38
3 42 46
3 43 39
3 44 40
3 45 17
3 46 46
3 47 22
3 48 12
3 49 47
3 50 23
3 51 45
3 52 13
3 53 35
3 54 25
3 55 48
3 56 11
3 57 17
3 58 19
3 59 10
3 60 42
3 61 8
3 62 13
3 63 19
3 64 21
3 65 13
3 66 25
3 67 40
3 68 20
3 69 50
3 70 5
3 71 43
3 72 39
3 73 50
3 74 33
3 75 30
3 76 16
3 77 28
3 78 2
3 79 29
3 80 26
3 81 24
3 82 23
3 83 40
3 84 10
3 85 50
3 86 38
3 87 22
3 88 16
3 89 8
3 90 33
3 91 7
3 92 15
3 93 46
3 94 28
3 95 37
3 96 10
3 97 2
3 98 26
3 99 30
3 100 3
3 101 30
3 102 24
3 103 43
3 104 31
3 105 6
3 106 22
3 107 46
3 108 35
3 109 25
3 110 27
3 111 13
3 112 48
3 113 49
3 114 2
3 115 9
3 116 48
3 117 39
3 118 33
3 119 15
3 120 46
3 121 15
3 122 24
3 123 12
3 124 12
3 125 3
3 126 48
3 127 22
3 128 4
3 129 24
3 130 1
3 131 8
3 132 5
3 133 24
3 134 50
3 135 36
3 136 31
3 137 23
3 138 33
3 139 15
3 140 48
3 141 9
3 142 29
3 143 47
3 144 10
3 145 31
3 146 6
3 147 9
3 148 19
3 149 40
3 150 26
3 151 17
3 152 4
3 153 1
3 154 28
3 155 18
3 156 3
3 157 26
3 158 39
3 159 8
3 160 1
3 161 41
3 162 15
3 163 7
3 164 16
3 165 16
3 166 42
3 167 46
3 168 38
3 169 27
3 170 12
3 171 35
3 172 37
3 173 41
3 174 32
3 175 48
3 176 23
3 177 39
3 178 7
3 179 43
3 180 28
3 181 34
3 182 9
3 183 33
3 184 34
3 185 39
3 186 50
3 187 36
3 188 14
3 189 40
3 190 43
3 191 16
3 192 30
3 193 9
3 194 22
3 195 45
3 196 24
3 197 16
3 198 42
3 199 11
3 200 44
3 201 4
3 202 46
3 203 30
3 204 46
3 205 29
3 206 28
3 207 18
3 208 19
3 209 36
3 210 10
3 211 46
3 212 19
3 213 21
3 214 30
3 215 4
3 216 9
3 217 32
3 218 41
3 219 24
3 220 21
3 221 33
3 222 39
3 223 3
3 224 41
3 225 12
3 226 47
3 227 16
3 228 27
3 229 39
3 230 26
3 231 20
3 232 44
3 233 23
3 234 2
3 235 39
3 236 1
3 237 31
3 238 8
3 239 19
3 240 16
3 241 17
3 242 16
3 243 36
3 244 37
3 245 48
3 246 41
3 247 47
3 248 31
3 249 31
3 250 20
3 251 3
3 252 13
3 253 8
3 254 5
3 255 5
3 256 22
3 257 2
3 258 22
3 259 48
3 260 42
3 261 47
3 262 20
3 263 35
3 264 22
3 265 21
3 266 25
3 267 24
3 268 3
3 269 32
3 270 43
3 271 18
3 272 50
3 273 10
3 274 5
3 275 39
3 276 9
3 277 45
3 278 35
3 279 39
3 280 25
3 281 5
3 282 42
3 283 39
3 284 14
3 285 48
3 286 45
3 287 35
3 288 1
3 289 16
3 290 35
3 291 42
3 292 14
3 293 4
3 294 28
3 295 35
3 296 26
3 297 4
3 298 9
3 299 28
3 300 35
3 301 3
3 302 47
3 303 37
3 304 14
3 305 1
3 306 25
3 307 23
3 308 47
3 309 11
3 310 13
3 311 23
3 312 17
3 313 6
3 314 11
3 315 31
3 316 4
3 317 7
3 318 17
3 319 6
3 320 22
3 321 1
3 322 48
3 323 35
3 324 6
3 325 27
3 326 20
3 327 33
3 328 31
3 329 30
3 330 12
3 331 17
3 332 32
3 333 8
3 334 5
3 335 45
3 336 10
3 337 31
3 338 19
3 339 8
3 340 42
3 341 32
3 342 30
3 343 8
3 344 37
3 345 40
3 346 40
3 347 42
3 348 46
3 349 7
3 350 48
3 351 19
3 352 9
3 353 47
3 354 6
3 355 15
3 356 25
3 357 25
3 358 47
3 359 5
3 360 6
3 361 9
3 362 24
3 363 37
3 364 18
3 365 28
3 366 33
3 367 30
3 368 9
3 369 2
3 370 37
3 371 2
3 372 33
3 373 17
3 374 11
3 375 21
3 376 8
3 377 1
3 378 13
3 379 4
3 380 9
3 381 12
3 382 24
3 383 17
3 384 8
3 385 29
3 386 31
3 387 32
3 388 5
3 389 30
3 390 39
3 391 10
3 392 40
3 393 14
3 394 46
3 395 9
3 396 41
3 397 31
3 398 38
3 399 1
3 400 32
3 401 25
3 402 4
3 403 14
3 404 43
3 405 15
3 406 36
3 407 50
3 408 15
3 409 50
3 410 5
3 411 23
3 412 11
3 413 29
3 414 41
3 415 20
3 416 7
3 417 24
3 418 4
3 419 14
3 420 3
3 421 42
3 422 23
3 423 44
3 424 7
3 425 21
3 426 2
3 427 49
3 428 1
3 429 40
3 430 50
3 431 32
3 432 16
3 433 5
3 434 47
3 435 8
3 436 19
3 437 34
3 438 7
3 439 33
3 440 34
3 441 12
3 442 7
3 443 46
3 444 42
3 445 48
3 446 16
3 447 48
3 448 21
3 449 19
3 450 11
3 451 25
3 452 12
3 453 36
3 454 18
3 455 20
3 456 6
3 457 21
3 458 18
3 459 6
3 460 10
3 461 19
3 462 39
3 463 27
3 464 24
3 465 37
3 466 34
3 467 42
3 468 20
3 469 41
3 470 27
3 471 3
3 472 4
3 473 35
3 474 49
3 475 45
3 476 34
3 477 16
3 478 44
3 479 4
3 480 34
3 481 7
3 482 30
3 483 47
3 484 42
3 485 49
3 486 16
3 487 47
3 488 20
3 489 35
3 490 4
3 491 31
3 492 4
3 493 44
3 494 8
3 495 27
3 496 30
3 497 41
3 498 18
3 499 49
4 5 33
4 6 46
4 7 4
4 8 38
4 9 31
4 10 2
4 11 32
4 12 14
4 13 19
4 14 26
4 15 20
4 16 4
4 17 34
4 18 49
4 19 50
4 20 25
4 21 50
4 22 17
4 23 23
4 24 19
4 25 1
4 26 28
4 27 49
4 28 4
4 29 21
4 30 8
4 31 32
4 32 2
4 33 1
4 34 2
4 35 2
4 36 33
4 37 47
4 38 5
4 39 21
4 40 29
4 41 8
4 42 4
4 43 43
4 44 26
4 45 31
4 46 14
4 47 29
4 48 14
4 49 14
4 50 30
4 51 38
4 52 13
4 53 46
4 54 12
4 55 33
4 56 49
4 57 39
4 58 34
4 59 4
4 60 11
4 61 41
4 62 38
4 63 12
4 64 41
4 65 39
4 66 14
4 67 26
4 68 37
4 69 20
4 70 46
4 71 16
4 72 28
4 73 1
4 74 10
4 75 5
4 76 32
4 77 25
4 78 34
4 79 45
4 80 38
4 81 13
4 82 35
4 83 3
4 84 11
4 85 46
4 86 35
4 87 11
4 88 37
4 89 20
4 90 16
4 91 47
4 92 11
4 93 3
4 94 11
4 95 3
4 96 43
4 97 26
4 98 28
4 99 30
4 100 45
4 101 25
4 102 47
4 103 24
4 104 26
4 105 8
4 106 29
4 107 7
4 108 32
4 109 12
4 110 3
4 111 21
4 112 26
4 113 37
4 114 23
4 115 38
4 116 35
4 117 10
4 118 48
4 119 21
4 120 29
4 121 16
4 122 17
4 123 39
4 124 18
4 125 27
4 126 44
4 127 11
4 128 2
4 129 23
4 130 42
4 131 49
4 132 48
4 133 38
4 134 22
4 135 25
4 136 45
4 137 50
4 138 33
4 139 28
4 140 13
4 141 35
4 142 48
4 143 39
4 144 24
4 145 23
4 146 28
4 147 8
4 148 32
4 149 26
4 150 28
4 151 10
4 152 41
4 153 46
4 154 1
4 155 10
4 156 25
4 157 44
4 158 20
4 159 28
4 160 16
4 161 11
4 162 26
4 163 15
4 164 50
4 165 48
4 166 41
4 167 46
4 168 49
4 169 23
4 170 25
4 171 12
4 172 10
4 173 23
4 174 2
4 175 35
4 176 45
4 177 29
4 178 42
4 179 26
4 180 6
4 181 21
4 182 37
4 183 48
4 184 18
4 185 37
4 186 8
4 187 42
4 188 30
4 189 29
4 190 20
4 191 48
4 192 42
4 193 45
4 194 14
4 195 41
4 196 44
4 197 5
4 198 39
4 199 43
4 200 27
4 201 13
4 202 4
4 203 38
4 204 37
4 205 5
4 206 22
4 207 31
4 208 35
4 209 15
4 210 8
4 211 41
4 212 37
4 213 45
4 214 38
4 215 7
4 216 33
4 217 47
4 218 48
4 219 13
4 220 26
4 221 19
4 222 12
4 223 17
4 224 14
4 225 25
4 226 9
4 227 9
4 228 29
4 229 49
4 230 1
4 231 8
4 232 12
4 233 6
4 234 47
4 235 48
4 236 12
4 237 21
4 238 31
4 239 47
4 240 37
4 241 40
4 242 39
4 243 24
4 244 34
4 245 26
4 246 30
4 247 19
4 248 23
4 249 29
4 250 33
4 251 50
4 252 48
4 253 44
4 254 16
4 255 13
4 256 20
4 257 26
4 258 21
4 259 1
4 260 25
4 261 24
4 262 8
4 263 38
4 264 31
4 265 6
4 266 35
4 267 43
4 268 26
4 269 17
4 270 41
4 271 13
4 272 7
4 273 29
4 274 38
4 275 42
4 276 6
4 277 19
4 278 10
4 279 30
4 280 47
4 281 42
4 282 29
4 283 46
4 284 37
4 285 46
4 286 8
4 287 7
4 288 22
4 289 31
4 290 9
4 291 48
4 292 6
4 293 18
4 294 35
4 295 36
4 296 23
4 297 21
4 298 30
4 299 1
4 300 40
4 301 20
4 302 13
4 303 48
4 304 50
4 305 2
4 306 39
4 307 6
4 308 20
4 309 1
4 310 35
4 311 18
4 312 44
4 313 16
4 314 16
4 315 33
4 316 11
4 317 25
4 318 41
4 319 34
4 320 5
4 321 49
4 322 31
4 323 10
4 324 16
4 325 17
4 326 48
4 327 38
4 328 40
4 329 27
4 330 38
4 331 29
4 332 49
4 333 2
4 334 26
4 335 48
4 336 5
4 337 16
4 338 5
4 339 26
4 340 16
4 341 42
4 342 44
4 343 12
4 344 7
4 345 9
